id,year,dateInserted,datePublished,doctype,doi,pmid,linkout,timesCited,altmetric,venue,publisher,title,openAccess,concepts,meshTerms
pub.1127920332,2020,5/28/2020,5/25/2020,article,10.3390/foods9050675,,https://www.mdpi.com/2304-8158/9/5/675/pdf,0,,Foods,MDPI,Covid-19 and the Subsequent Lockdown Modified Dietary Habits of Almost Half the Population in an Italian Sample,oa_all • gold_pure,self-reported food consumption • half of responders • public health authorities • higher anxiety levels • dietary habits • alcohol consumption • change of diet • salty snacks • responders • health authorities • anxiety levels • food consumption • diet • pandemic • comfort food • daily habits • cohort • habits • similar studies • increase • half • vegetables • questionnaire • meal • Italian sample • snacks • percent • population • fresh fruits • consumption • decrease • food • levels • sports • weight • study • desserts • low availability • social interaction • effect • chocolate • changes • fruit • ability • items • addition • samples • availability • lockdown • part • means • Italian • reaction • ease • such items • interaction • policy • world • purchase • authorities • government • Italian government • Internet • confinement • Covid-19 pandemic • lockdown policies • confinement policies • self-selected Italians • Future large-scale similar studies • large-scale similar studies • unavoidable pandemics • Covid-19 • Subsequent Lockdown Modified Dietary Habits • Lockdown Modified Dietary Habits • Modified Dietary Habits,
pub.1127909863,2020,5/28/2020,5/23/2020,article,10.38192/1.6.1.12,,https://physicianjnl.net/index.php/phy/article/download/33/50,0,,,,From Snowy White Peaks to Angels of Colour,oa_all • gold_hybrid,wider questions • health workers • social networks • United Kingdom • Commission actions • White Peak • workers • personal contact • differential outcomes • complete justice • justice • health professionals • dialogue • stakeholders • Kingdom • wisdom • forefront • experience • editorial • professionals • issues • questions • life • NHS • survey • angels • exploration • action • pandemic • health spectrum • wide range • outcomes • network • analysis • aim • contact • color • range • cohort • spectra • peak • COVID-19 pandemic • Snowy White Peaks • Angels of Colour,
pub.1127905821,2020,5/28/2020,5/26/2020,article,10.1177/0194599820931041,32452746,https://journals.sagepub.com/doi/pdf/10.1177/0194599820931041,0,,Otolaryngology,SAGE Publications,Implementation of Preoperative Screening Protocols in Otolaryngology During the COVID-19 Pandemic.,oa_all • gold_bronze,preoperative screening protocol • preoperative screening • care protocols • operative procedure • urban tertiary care medical center • screening protocol • tertiary care medical center • retrospective cohort study • ease of administration • home quarantine • safe surgical practice • cohort study • operative delay • care screening • Medical Center • oncologic diseases • positive cases • patients • surgical practice • early weeks • operating room • widespread pandemic • pandemic • substantial proportion • significant delay • subsequent exposure • treatment • screening • workflow challenges • case protocol • surgery • clinic • cohort • disease • administration • protocol • weeks • otolaryngology • care • procedure • study • cases • rapid implementation • exposure • proportion • practice • individuals • adjustment • period • major strength • testing • delay • center • room • strains • quarantine • critical aspects • point • success • available resources • facilities • implications • challenges • aspects • information • testing facility • arrival • ease • implementation • strength • midst • universal point • resources • technology • document workflow challenges • COVID-19 pandemic • large urban tertiary care medical center • care medical center • high-risk case protocol • COVID-19 • COVID-19 clinics • community testing facilities • major workflow adjustments • workflow adjustments,
pub.1127906522,2020,5/28/2020,5/26/2020,article,10.1159/000508502,32454505,https://www.karger.com/Article/Pdf/508502,0,8,Nephron,Karger Publishers,Subclinical Acute Kidney Injury in COVID-19 Patients: A Retrospective Cohort Study.,oa_all • gold_bronze,subclinical acute kidney injury • acute kidney injury • retrospective cohort study • kidney injury • cohort study • patients • injury • study • COVID-19 Patients,
pub.1127907162,2020,5/28/2020,5/26/2020,article,10.1183/13993003.01398-2020,32457198,https://erj.ersjournals.com/content/erj/early/2020/05/13/13993003.01398-2020.full.pdf,0,1,European Respiratory Journal,European Respiratory Society (ERS),"Active tuberculosis, sequelae and COVID-19 co-infection: first cohort of 49 cases.",oa_all • gold_hybrid,active tuberculosis • first cohort • sequelae • cohort • tuberculosis • cases • COVID-19,
pub.1127903822,2020,5/28/2020,5/21/2020,preprint,,,,0,,arXiv,,Longitudinal laboratory testing tied to PCR diagnostics in COVID-19 ***   patients reveals temporal evolution of distinctive coagulopathy signatures,oa_all • green_sub,electronic health records • platelet count • precision medicine platform • minority of patients • low platelet count • associated coagulopathy • thromboprophylaxis regimen • thromboembolic events • intravascular coagulopathy • most patients • coagulation profile • clinical presentation • consumptive coagulopathy • clinical outcomes • provider notes • medication data • fibrinogen levels • rare case • patients • higher plasma • PCR testing • coagulopathy • diagnostic testing • observation period • health records • unstructured electronic health records • medicine platform • cohort • precision medicine • laboratory testing • longitudinal trends • two-month observation period • outcomes • laboratory tests • PCR diagnostics • counts • thrombocytopenia • regimen • testing date • infection • testing • platelets • levels • fibrinogen • better personalization • presentation • date • medicine • assays • laboratory testing results • period • time • minority • plasma • records • study • cases • measures • reduction • events • test • first time • trends • profile • diagnostics • data • testing results • results • goal • efforts • note • measurements • resolution • extraction • signatures • personalization • platform • triangulation • lab measurements • temporal evolution • inference • evolution • unstructured text • curation efforts • text • framework • digital framework • temporal inference • COVIDpos • COVIDneg • SARS-CoV-2 PCR testing • COVIDpos patients • COVIDneg cohort • PCR testing date • resolution of COVID-19 • COVID-19 • longitudinal lab measurements • structured medication data • network-powered extraction • patients specific coagulation profile • specific coagulation profile • Longitudinal laboratory testing • distinctive coagulopathy signatures • coagulopathy signatures,
pub.1127887241,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.23.20111310,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.23.20111310.full.pdf,0,3,medRxiv,Cold Spring Harbor Laboratory,No evidence for allelic association between Covid-19 and ACE2 genetic variants by direct exome sequencing in 99 SARS-CoV-2 positive patients,oa_all • green_pub,disease severity • host susceptibility/resistance • Bambino Gesù Hospital • susceptibility alleles • severe acute respiratory syndrome coronavirus • Middle East respiratory syndrome • allelic association • genetic variants • whole-exome sequencing • disease 19 • positive patients • University Hospital • animal coronaviruses • respiratory syndrome • ongoing pandemic • susceptibility/resistance • patients • germline variants • ACE2 gene • human pathophysiology • similar frequency • coronavirus • exome sequencing • Italian population • hospital • severity • association • virus • functional role • population data • alleles • sex bias • DNA samples • animal species • pathophysiology • Rome Tor Vergata • syndrome • population • significant evidence • cohort • variants • ACE2 • pandemic • Tor Vergata • evidence • unrelated individuals • study • cause • non-coding region • genes • missense • sequencing • humans • individuals • gene activity • frequency • large family • activity • role • intronic • occurrence • regulatory region • resistance • V2 • people • exception • family • addition • data • region • samples • silico • bias • different frequencies • results • interest • Rome • species • existence • rare susceptibility allele • East Respiratory Syndrome • acute respiratory syndrome coronavirus • respiratory syndrome coronavirus • syndrome coronavirus • SARS-CoV-2 • coronavirus disease 2019 • disease 2019 • SARS-CoV-2 virus • ACE2 variants • Italian unrelated individuals • coronavirus disease 19 • experimental demonstrate allelic association • demonstrate allelic association • COVID-19 patients • Vergata • Gesù Hospital • different germline variants • ACE2 exonic allelic association • exonic allelic association • ACE2 gene activity • ACE2 susceptibility alleles • SARS-Co • ACE2 alleles • disease severity/sex bias • severity/sex bias • Covid-19 • ACE2 genetic variants • direct exome sequencing • SARS-CoV-2 positive patients,
pub.1127890281,2020,5/28/2020,5/26/2020,article,10.1101/2020.05.24.20111823,,https://www.medrxiv.org/content/medrxiv/early/2020/05/26/2020.05.24.20111823.full.pdf,0,31,medRxiv,Cold Spring Harbor Laboratory,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",oa_all • green_pub,number of comorbidities • absence of comorbidities • chronic diseases • general population • first nationwide population-based study • nationwide population-based cohort • positive RT-PCR test • nationwide population-based study • fatal disease • population-based cohort • population-based study • high-risk group • predictors of hospitalization • major chronic diseases • RT-PCR test • hospital contact • nationwide cohort • median age • hospitalization requirements • inpatient hospitalization • fatal cases • appropriate triage • comorbidities • high risk • MAIN OUTCOME • positive cases • population-level knowledge • Danish individuals • hospitalization • disease • mortality • age • strongest predictor • death • cohort • predictors • triage • ORs • years • population • cases • individuals • accurate identification • survival • outcomes • absence • sex • risk • days • conclusion • PCR • group • persons • setting • number • identification • study • RNA • relevance • measures • Denmark • test • protection • results • characteristics • strategies • contact • knowledge • protection strategies • wide range • society • range • design • requirements • order • fatal coronavirus disease 2019 • coronavirus disease 2019 • disease 2019 • Participants Nationwide population-based cohort • consecutive Danish individuals • severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) RNA • acute respiratory syndrome coronavirus 2 (SARS-CoV-2) RNA • respiratory syndrome coronavirus 2 (SARS-CoV-2) RNA • syndrome coronavirus 2 (SARS-CoV-2) RNA • coronavirus 2 (SARS-CoV-2) RNA • first COVID-19 case • COVID-19 case • SARS-CoV-2 PCR • community-managed cases • COVID-19 • SARS-CoV-2,
pub.1127890122,2020,5/28/2020,5/26/2020,article,10.1136/annrheumdis-2020-217888,32457048,https://ard.bmj.com/content/annrheumdis/early/2020/05/26/annrheumdis-2020-217888.full.pdf,0,44,Annals of the Rheumatic Diseases,BMJ,Clinical characteristics and outcomes of patients with coronavirus disease 2019 (COVID-19) and rheumatic disease: a comparative cohort study from a US ‘hot spot’,oa_all • gold_bronze,intensive care admission • comparative cohort study • rheumatic diseases • mechanical ventilation • care admission • cohort study • clinical features • outcome of patients • rheumatic disease patients • majority of patients • similar clinical features • immunosuppressive medications • hospitalisation rates • clinical characteristics • laboratory findings • disease patients • MAIN OUTCOME • patients • Partners HealthCare System • disease • similar symptoms • infection • healthcare system • similar proportions • outcomes • ventilation • admission • greater Boston • mortality • further validation • Massachusetts area • hospitalisation • medications • findings • symptoms • diagnosis • demographics • manifestations • age • sex • differences • study • important implications • comparator • group • majority • proportion • Boston • rate • date • features • ratio • area • implications • validation • characteristics • uses • hot spots • spots • system • coronavirus disease 2019 (COVID-19) infection • disease 2019 (COVID-19) infection • COVID-19 • COVID-19 diagnosis • COVID-19 infection • non-rheumatic disease comparators • disease comparators • coronavirus disease 2019 • disease 2019,
pub.1127891497,2020,5/28/2020,5/1/2020,article,10.1016/j.jdmv.2020.05.003,,https://doi.org/10.1016/j.jdmv.2020.05.003,0,,JMV-Journal de Médecine Vasculaire,Elsevier,Association between D-Dimer levels and mortality in patients with coronavirus disease 2019 (COVID-19): a systematic review and pooled analysis,oa_all • gold_bronze,standardized mean difference • Elevated baseline D • dimer levels • pooled analysis • baseline D • systematic review • final pooled analysis • present pooled analysis • risk of mortality • confidence intervals • current available data • random effects model • retrospective cohort • hospitalized patients • dimer testing • observational study • patients • high heterogeneity • disease severity • mean difference • mortality • effects model • survivors • original study • early integration • association • overall effect • levels • EMBASE • review • MEDLINE • study • hospital • cohort • available data • severity • outcomes • risk • scores • biological tests • heterogeneity • stratification • intervals • management • differences • testing • records • analysis • test • effect • data • authors • results • model • integration • severe coronavirus disease 2019 • coronavirus disease 2019 • disease 2019 • COVID-19 • critical COVID-19 • COVID-19 patients • accessible biological test,
